rank,type_key,ifc_class,instances,discipline,tier,proposed_code,proposed_code_label,evidence_sibling_type,evidence_sibling_instances,sibling_coded_instances_in_class,sibling_distinct_codes_in_class,join_key_ambiguous
288,M_Double-Flush-Dbl Acting:1730 x 2032mm,IfcDoor,1,ARC,derived:sibling,B2020200,Curtain Walls,M_Curtain Wall Sgl Glass:M_Curtain Wall Sgl Glass,5,7,2,YES
289,M_Double-Flush:1830 x 1981mm,IfcDoor,1,ARC,derived:sibling,B2020200,Curtain Walls,M_Curtain Wall Sgl Glass:M_Curtain Wall Sgl Glass,5,7,2,YES
290,M_Double-Panel 1:1730 x 2134mm,IfcDoor,1,ARC,derived:sibling,B2020200,Curtain Walls,M_Curtain Wall Sgl Glass:M_Curtain Wall Sgl Glass,5,7,2,YES
291,08_Storefront w 2h mull_1vert mull:1500w x 4000h,IfcWindow,1,ARC,derived:ai,,,,,0,0,
292,ED Nurse Station1:ED Nurse Station,IfcFurniture,1,ARC,derived:ai,,,,,0,0,
293,ED Nurse Station2:ED Nurse Station,IfcFurniture,1,ARC,derived:ai,,,,,0,0,
294,Stall Pilaster:Stall Pilaster,IfcBuildingElementProxy,1,ARC,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
295,M_Double-Flush:1830 x 1981mm,IfcOpeningElement,1,ARC,derived:ai,,,,,0,0,
296,M_Double-Flush-Dbl Acting:1730 x 2032mm,IfcOpeningElement,1,ARC,derived:ai,,,,,0,0,
297,Basic Roof:Ballasted,IfcSlab,1,ARC,derived:ai,,,,,0,0,
298,HeliPad:HeliPad,IfcBuildingElementProxy,1,ARC,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
299,Life_Flight_Helicopter:Life_Flight_Helicopter,IfcBuildingElementProxy,1,ARC,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
300,Basic Wall:Exterior - Metal Panel on Mtl. Stud double Exterior,IfcWall,1,ARC,derived:ai,,,,,0,0,
301,Beam Soffit 1:Beam Soffit 1,IfcCovering,1,ARC,derived:ai,,,,,0,0,
302,Beam Enclosure - Wing E:Beam Enclosure - Wing E,IfcCovering,1,ARC,derived:ai,,,,,0,0,
303,Basic Wall:Exterior - Metal Panel on Mtl. Stud at Front Entry,IfcWall,1,ARC,derived:ai,,,,,0,0,
304,Entry Water Fountain:Entry Water Fountain,IfcBuildingElementProxy,1,ARC,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
305,Basic Wall:Interior - Water Wall,IfcWallStandardCase,1,ARC,derived:ai,,,,,0,0,
306,Front Entry Info Desk:Front Entry Info Desk,IfcFurniture,1,ARC,derived:ai,,,,,0,0,
307,Floor:Concrete-150 mm slab on 300mm base,IfcSlab,1,STR,derived:ai,,,,,0,0,
308,Floor:Concrete-200 mm slab on 300mm base 2,IfcSlab,1,STR,derived:ai,,,,,0,0,
309,Floor:Concrete-150 mm slab,IfcSlab,1,STR,derived:ai,,,,,0,0,
310,Stair:Monolithic Stair,IfcStairFlight,1,STR,derived:ai,,,,,0,0,
311,M_Concrete-Rectangular-Column:600 x 600mm,IfcColumn,1,STR,derived:ai,,,,,0,0,
312,UB-Universal Beam:610x229x125UB,IfcBeam,1,STR,derived:ai,,,,,0,0,
313,Floor:75mm Metal Roof Deck,IfcSlab,1,STR,derived:ai,,,,,0,0,
314,M_Channel Horizontal Bend:Standard,IfcCableCarrierFitting,1,ELE,derived:ai,,,,,0,0,
315,M_Lighting and Appliance Panelboard - 208V MCB - Surface:MCB-1,IfcBuildingElementProxy,1,ELE,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
316,M_Lighting and Appliance Panelboard - 480V MCB - Surface:MCB-1L,IfcBuildingElementProxy,1,ELE,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
317,M_Lighting and Appliance Panelboard - 208V MLO:PL-2,IfcBuildingElementProxy,1,ELE,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
318,M_Lighting and Appliance Panelboard - 480V MLO:LL-2,IfcBuildingElementProxy,1,ELE,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
319,M_Lighting and Appliance Panelboard - 480V MLO:LL-1,IfcBuildingElementProxy,1,ELE,derived:sibling,C1030220,Bath & Toilet Accessories - Residential,Shower-Head-w-Adjustable-Bar:Disabled_Shower_Head_with_adjustable_bar_2818,298,963,7,YES
